default,amount_of_loan,credit_rating,years_with_bank,rent_mortgage_own,income,age
0,3200,D,0,0,35004,25
0,7000,A,8,0,26004,25
0,8000,A,16,1,60000,30
0,2000,A,5,1,60000,35
1,12000,B,0,0,32500,22
1,7800,C,5,0,34000,21
0,24000,A,25,1,124992,31
1,14500,E,4,0,28800,32
1,8500,C,9,0,50000,25
0,12800,B,1,0,65000,29
1,10800,C,2,0,33000,21
0,14000,B,3,0,55000,29
0,16000,B,7,1,41196,23
0,12250,D,0,0,50000,22
0,2000,A,3,0,34884,23
1,1500,B,22,0,32304,24
1,20000,D,6,0,82042,23
0,8200,A,2,0,42996,33
1,8400,C,3,0,32000,30
0,4400,A,5,2,48000,24
1,6000,B,0,0,32000,38
0,6000,B,2,1,49200,25
0,6000,A,6,0,31000,21
0,3000,B,2,0,60000,28
1,4750,C,7,1,55500,27
1,8000,C,10,0,72000,22
0,7000,B,4,2,39120,23
1,8000,B,4,0,35000,24
0,9600,D,3,0,53000,21
1,25000,D,1,0,125000,29
0,8000,B,3,0,57996,34
0,6000,A,0,2,40000,22
0,19750,B,6,0,30000,23
1,2225,C,2,0,60000,36
1,3500,C,0,0,18000,22
1,7000,A,2,1,90000,42
0,8000,B,5,0,42000,30
1,14125,B,5,1,45696,22
1,3000,C,3,0,56000.04,24
1,9000,C,16,2,46800,23
1,16000,B,1,0,45000,23
0,8000,C,24,1,75000,24
1,12000,B,5,1,69996,23
0,29850,D,1,0,59700,54
1,5000,E,4,0,60000,22
1,7750,C,5,0,26400,29
0,7000,A,2,1,96000,23
0,6000,A,2,0,63000,30
0,35000,D,10,1,87000,24
1,18725,A,0,0,36500,22
1,1000,C,2,0,10140,21
0,13250,A,2,0,45000,30
1,12000,D,2,0,40310,32
1,3800,D,4,0,75000,23
0,7500,A,2,1,44000,27
1,15000,E,7,0,62000,21
0,4000,A,3,0,98000,26
0,4750,B,3,0,20000,32
0,25000,B,11,0,91000,34
1,5000,A,6,0,45000,28
1,8000,A,1,1,96000,29
0,5000,D,3,1,25380,35
0,5000,B,9,0,36000,35
0,10000,C,1,0,57000,25
0,2500,E,0,0,51630,22
1,3000,B,1,1,34662,23
0,11000,A,5,1,54000,24
0,10000,C,1,1,100000,29
0,10000,B,10,1,32004,22
0,2500,C,5,0,120000,29
0,3500,D,24,0,74004,26
0,8500,D,0,0,61000,29
1,4900,C,0,2,36000,32
1,6200,B,2,0,25000,36
0,7200,B,5,0,61490,21
1,17000,C,2,1,51996,21
1,6000,C,4,0,35364,26
1,25000,C,0,2,86500,31
0,6000,B,2,0,35000,32
0,3000,C,0,2,12000,25
1,7000,C,2,0,40000,28
1,3600,A,5,0,30000,34
0,4800,D,5,2,62000,40
0,4500,A,5,0,36000,24
0,9500,A,5,1,47300,24
1,5200,B,0,0,21600,25
0,9975,C,24,0,83200,22
0,14400,B,1,0,80000,22
0,7000,B,3,0,35350,22
0,4000,A,2,1,61000,30
1,5000,A,0,0,30000,21
0,12475,A,17,1,88000,23
0,10000,B,13,1,65000,24
0,1200,D,8,0,68736,33
0,12000,B,1,0,46000,38
0,12000,D,18,1,50400,22
0,10675,A,34,1,61838.4,28
0,5800,C,2,0,18000,21
0,14400,C,0,0,62000,25
0,25000,D,12,1,97000,25
0,20000,B,4,0,88000,27
0,4800,B,3,0,55000,21
1,9600,B,4,1,62000,23
0,5650,A,15,1,48000,27
0,5000,B,0,0,20520,30
0,16000,A,3,1,104000,33
1,25000,B,17,1,65000,21
1,6450,B,4,0,29361,22
1,3000,C,0,0,37440,29
1,10300,D,1,1,26400,41
0,7275,A,2,1,16000,30
